Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18,class19,class20,class21,class22,class23,class24,class25,class26,class27,class28,class29,class30,class31,class32,class33,class34,class35,class36,class37,class38,class39,class40,class41,class42,class43,class44,Amount
Client   0,0.053,0.001,0.00,0.091,0.079,0.014,0.035,0.154,0.035,0.00,0.000,0.001,0.001,0.000,0.00,0.004,0.002,0.003,0.002,0.133,0.00,0.000,0.00,0.046,0.000,0.001,0.004,0.264,0.00,0.000,0.00,0.003,0.002,0.00,0.00,0.066,0.00,0.00,0.000,0.002,0.00,0.00,0.000,0.00,0.000,4129
Client   1,0.165,0.059,0.064,0.001,0.232,0.007,0.028,0.051,0.003,0.001,0.000,0.000,0.017,0.001,0.00,0.004,0.000,0.00,0.001,0.099,0.001,0.00,0.000,0.021,0.044,0.013,0.113,0.036,0.014,0.00,0.00,0.001,0.006,0.000,0.009,0.00,0.00,0.003,0.000,0.00,0.001,0.000,0.00,0.005,0.00,4129
Client   2,0.023,0.067,0.000,0.001,0.107,0.042,0.170,0.231,0.00,0.00,0.006,0.006,0.011,0.000,0.000,0.00,0.00,0.001,0.030,0.112,0.000,0.001,0.001,0.007,0.010,0.00,0.000,0.00,0.076,0.000,0.000,0.00,0.003,0.00,0.022,0.070,0.00,0.001,0.00,0.00,0.00,0.00,0.000,0.00,0.00,4129
Client   3,0.011,0.00,0.000,0.449,0.001,0.056,0.000,0.230,0.003,0.00,0.00,0.000,0.004,0.00,0.00,0.00,0.00,0.00,0.001,0.069,0.00,0.00,0.005,0.020,0.002,0.001,0.011,0.021,0.094,0.00,0.00,0.002,0.003,0.002,0.00,0.001,0.000,0.000,0.00,0.006,0.00,0.00,0.00,0.007,0.001,4129
