Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18,class19,class20,class21,class22,class23,class24,class25,class26,class27,class28,class29,class30,class31,class32,class33,class34,class35,class36,class37,class38,class39,class40,class41,class42,class43,class44,Amount
Client   0,0.124,0.044,0.004,0.001,0.225,0.027,0.072,0.223,0.013,0.00,0.001,0.000,0.017,0.000,0.000,0.002,0.001,0.001,0.021,0.031,0.001,0.000,0.002,0.059,0.005,0.014,0.002,0.058,0.023,0.000,0.00,0.001,0.003,0.001,0.012,0.001,0.000,0.001,0.00,0.004,0.00,0.00,0.00,0.002,0.000,4129
Client   1,0.017,0.054,0.027,0.131,0.163,0.004,0.125,0.117,0.010,0.00,0.001,0.001,0.013,0.00,0.00,0.004,0.002,0.00,0.012,0.110,0.00,0.001,0.00,0.003,0.005,0.002,0.020,0.049,0.083,0.000,0.00,0.001,0.001,0.000,0.006,0.029,0.00,0.00,0.000,0.004,0.00,0.00,0.001,0.003,0.00,4129
Client   2,0.087,0.022,0.008,0.133,0.006,0.019,0.009,0.249,0.015,0.000,0.003,0.002,0.001,0.000,0.00,0.002,0.000,0.002,0.001,0.246,0.00,0.001,0.003,0.022,0.016,0.00,0.015,0.037,0.045,0.00,0.00,0.000,0.00,0.001,0.009,0.041,0.00,0.00,0.00,0.00,0.000,0.00,0.00,0.005,0.001,4129
Client   3,0.023,0.007,0.026,0.276,0.024,0.068,0.027,0.076,0.003,0.000,0.001,0.004,0.002,0.001,0.00,0.00,0.00,0.001,0.000,0.027,0.000,0.00,0.000,0.010,0.030,0.00,0.092,0.176,0.033,0.00,0.000,0.003,0.010,0.00,0.004,0.067,0.00,0.003,0.00,0.000,0.000,0.000,0.00,0.001,0.00,4129
