Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18,class19,class20,class21,class22,class23,class24,class25,class26,class27,class28,class29,class30,class31,class32,class33,class34,class35,class36,class37,class38,class39,class40,class41,class42,class43,class44,Amount
Client   0,0.024,0.001,0.00,0.206,0.147,0.005,0.053,0.040,0.034,0.00,0.000,0.002,0.004,0.000,0.00,0.001,0.002,0.002,0.003,0.149,0.00,0.000,0.003,0.001,0.025,0.000,0.029,0.016,0.113,0.00,0.00,0.002,0.003,0.001,0.00,0.125,0.000,0.00,0.00,0.002,0.00,0.00,0.00,0.002,0.00,4129
Client   1,0.192,0.032,0.023,0.264,0.030,0.031,0.030,0.047,0.000,0.00,0.004,0.000,0.002,0.001,0.000,0.00,0.001,0.002,0.000,0.010,0.001,0.000,0.00,0.003,0.011,0.008,0.081,0.174,0.031,0.00,0.00,0.002,0.000,0.000,0.001,0.010,0.00,0.000,0.000,0.000,0.00,0.000,0.001,0.003,0.000,4129
Client   2,0.029,0.013,0.038,0.042,0.118,0.017,0.133,0.235,0.003,0.000,0.002,0.004,0.027,0.00,0.00,0.007,0.00,0.000,0.031,0.234,0.000,0.000,0.003,0.016,0.007,0.005,0.002,0.007,0.000,0.000,0.000,0.001,0.008,0.00,0.001,0.002,0.00,0.002,0.00,0.004,0.001,0.00,0.00,0.004,0.000,4129
Client   3,0.007,0.081,0.004,0.029,0.124,0.065,0.017,0.342,0.004,0.000,0.001,0.000,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.019,0.00,0.000,0.00,0.073,0.013,0.001,0.016,0.122,0.040,0.000,0.00,0.000,0.003,0.001,0.028,0.001,0.00,0.001,0.00,0.001,0.00,0.00,0.00,0.003,0.000,4129
